"GEOID","total","male","female","male_percentage","female_percentage","poverty_percentage"
"42003465800",3629,65,207,0.0179112703224029,0.0570405070267291,0.074951777349132
"42003459201",7360,175,169,0.0237771739130435,0.0229619565217391,0.0467391304347826
"42003464400",2812,533,795,0.189544807965861,0.28271692745377,0.47226173541963
"42003202200",2475,114,306,0.0460606060606061,0.123636363636364,0.16969696969697
"42003090200",2705,241,110,0.08909426987061,0.0406654343807763,0.129759704251386
"42003563202",1956,157,203,0.0802658486707566,0.103783231083845,0.184049079754601
"42003170600",1675,151,111,0.0901492537313433,0.0662686567164179,0.156417910447761
"42003300100",3721,748,384,0.201021230851922,0.103198065036281,0.304219295888202
"42003476100",4987,183,236,0.0366954080609585,0.0473230399037497,0.0840184479647082
"42003261300",3157,620,528,0.196388976876782,0.167247386759582,0.363636363636364
"42003479000",1959,21,40,0.0107197549770291,0.0204185809086268,0.031138335885656
"42003290400",3482,154,268,0.0442274554853532,0.0769672601952901,0.121194715680643
"42003470502",2981,15,63,0.00503186850050319,0.0211338477021134,0.0261657162026166
"42003980300",0,0,0,NA,NA,NA
"42003465600",2366,104,125,0.043956043956044,0.0528317836010144,0.0967878275570583
"42003477200",4384,112,97,0.0255474452554745,0.0221259124087591,0.0476733576642336
"42003180700",2417,422,295,0.174596607364501,0.122052130740588,0.296648738105089
"42003070300",2247,152,225,0.0676457498887405,0.100133511348465,0.167779261237205
"42003425000",3383,227,309,0.0671002069169376,0.0913390481820869,0.158439255099025
"42003981800",344,13,21,0.0377906976744186,0.061046511627907,0.0988372093023256
